match_id,team_a,team_b,predicted,official,correct
M73,RSA,CAN,RSA,CAN,False
M74,GER,PAR,GER,PAR,False
M75,NED,MAR,NED,MAR,False
M76,BRA,JPN,BRA,BRA,True
M77,FRA,SWE,FRA,FRA,True
M78,CIV,NOR,CIV,NOR,False
M79,MEX,ECU,MEX,MEX,True
M80,ENG,COD,ENG,ENG,True
M81,USA,BIH,USA,USA,True
M82,BEL,SEN,BEL,BEL,True
M83,POR,CRO,POR,POR,True
M84,ESP,AUT,ESP,ESP,True
M85,SUI,ALG,SUI,SUI,True
M86,ARG,CPV,ARG,ARG,True
M87,COL,GHA,COL,COL,True
M88,AUS,EGY,AUS,EGY,False
